Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"HP","Haptoglobin","Protein Coding","P00738","58","GC16P106129","10.3870401382446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP"
"LIPE","Lipase E, Hormone Sensitive Type","Protein Coding","Q05469","60","GC19M042401","10.3822183609009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE"
"PPARD","Peroxisome Proliferator Activated Receptor Delta","Protein Coding","Q03181","58","GC06P156423","10.2705812454224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARD"
"C10orf67","Chromosome 10 Open Reading Frame 67","Protein Coding","Q8IYJ2","39","GC10M023201","10.209041595459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C10orf67"
"SPINK1","Serine Peptidase Inhibitor Kazal Type 1","Protein Coding","P00995","54","GC05M147825","10.1738948822021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK1"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","P08833","55","GC07P050144","10.1442098617554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1"
"GIP","Gastric Inhibitory Polypeptide","Protein Coding","P09681","48","GC17M048958","10.1442098617554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIP"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","66","GC06P151656","10.1315078735352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"NPPB","Natriuretic Peptide B","Protein Coding","P16860","55","GC01M019843","10.1276178359985","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB"
"ANGPTL8","Angiopoietin Like 8","Protein Coding","Q6UXH0","45","GC19P132319","10.0560741424561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL8"
"UCP3","Uncoupling Protein 3","Protein Coding","P55916","54","GC11M074000","9.88552284240723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP3"
"CST3","Cystatin C","Protein Coding","P01034","56","GC20M024131","9.86382007598877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"MPO","Myeloperoxidase","Protein Coding","P05164","65","GC17M058269","9.82308959960938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056381","9.78756618499756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","9.7797908782959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"PCSK9","Proprotein Convertase Subtilisin/Kexin Type 9","Protein Coding","Q8NBP7","62","GC01P055039","9.7797908782959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9"
"SUMO4","Small Ubiquitin Like Modifier 4","Protein Coding","Q6EEV6","48","GC06P163620","9.72973346710205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO4"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","9.70221710205078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","61","GC02P204352","9.69825744628906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","9.69289016723633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"AHSG","Alpha 2-HS Glycoprotein","Protein Coding","P02765","57","GC03P186673","9.64586448669434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHSG"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","9.63410758972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"GC","GC Vitamin D Binding Protein","Protein Coding","P02774","58","GC04M071741","9.61424446105957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC"
"SERPINA12","Serpin Family A Member 12","Protein Coding","Q8IW75","51","GC14M094487","9.61424446105957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA12"
"UTS2","Urotensin 2","Protein Coding","O95399","51","GC01M007843","9.61424446105957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTS2"
"PNPLA3","Patatin Like Phospholipase Domain Containing 3","Protein Coding","Q9NST1","54","GC22P043923","9.59130668640137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3"
"SREBF1","Sterol Regulatory Element Binding Transcription Factor 1","Protein Coding","P36956","61","GC17M017810","9.58043766021729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF1"
"LEPQTL1","Leptin, Serum Levels Of","Genetic Locus","","11","GC02U903086","9.5708589553833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1"
"F5","Coagulation Factor V","Protein Coding","P12259","59","GC01M169511","9.52380561828613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"ACE2","Angiotensin Converting Enzyme 2","Protein Coding","Q9BYF1","62","GC0XM015494","9.49218845367432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","65","GC05P068215","9.48515033721924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"AKR1B1","Aldo-Keto Reductase Family 1 Member B","Protein Coding","P15121","59","GC07M134442","9.44058036804199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B1"
"GCKR","Glucokinase Regulator","Protein Coding","Q14397","51","GC02P027496","9.42000198364258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCKR"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","P42772","58","GC09M022002","9.40636444091797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","P01344","61","GC11M013301","9.30347919464111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"GPX1","Glutathione Peroxidase 1","Protein Coding","P07203","56","GC03M054269","9.30347919464111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1"
"TXNIP","Thioredoxin Interacting Protein","Protein Coding","Q9H3M7","52","GC01M145992","9.28584003448486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNIP"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P060062","9.27219200134277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"HSD11B1","Hydroxysteroid 11-Beta Dehydrogenase 1","Protein Coding","P28845","63","GC01P209686","9.23848438262939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1"
"CAMK1D","Calcium/Calmodulin Dependent Protein Kinase ID","Protein Coding","Q8IU85","52","GC10P012349","9.21187400817871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1D"
"RRAD","RRAD, Ras Related Glycolysis Inhibitor And Calcium Channel Regulator","Protein Coding","P55042","48","GC16M067625","9.20347785949707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAD"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","9.20320892333984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"SOD3","Superoxide Dismutase 3","Protein Coding","P08294","55","GC04P027001","9.18821907043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD3"
"GPX3","Glutathione Peroxidase 3","Protein Coding","P22352","53","GC05P155691","9.18821907043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX3"
"PLAT","Plasminogen Activator, Tissue Type","Protein Coding","P00750","62","GC08M042174","9.1774730682373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","56","GC04P073740","9.1229133605957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"F2","Coagulation Factor II, Thrombin","Protein Coding","P00734","63","GC11P048362","9.1018648147583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"LCAT","Lecithin-Cholesterol Acyltransferase","Protein Coding","P04180","59","GC16M067939","9.03510570526123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT"
"IGFBP3","Insulin Like Growth Factor Binding Protein 3","Protein Coding","P17936","59","GC07M045912","8.96464157104492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3"
"NAGLU","N-Acetyl-Alpha-Glucosaminidase","Protein Coding","P54802","56","GC17P133798","8.90039157867432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGLU"
"BAIAP2L1","BAR/IMD Domain Containing Adaptor Protein 2 Like 1","Protein Coding","Q9UHR4","50","GC07M098294","8.90039157867432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAIAP2L1"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","Q96P20","61","GC01P247539","8.87450504302979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"LMNA","Lamin A/C","Protein Coding","P02545","62","GC01P156082","8.85819530487061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","57","GC06M073593","8.78533554077148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"SDC4","Syndecan 4","Protein Coding","P31431","54","GC20M045325","8.78375148773193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC4"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","61","GC15M051208","8.76639556884766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"TF","Transferrin","Protein Coding","P02787","63","GC03P140959","8.75939655303955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF"
"APOA2","Apolipoprotein A2","Protein Coding","P02652","58","GC01M161222","8.75939655303955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA2"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","64","GC19P132305","8.71630668640137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"SCARB1","Scavenger Receptor Class B Member 1","Protein Coding","Q8WTV0","60","GC12M124776","8.71630668640137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1"
"PLIN1","Perilipin 1","Protein Coding","O60240","59","GC15M089664","8.71630668640137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1"
"SIRT1","Sirtuin 1","Protein Coding","Q96EB6","62","GC10P067884","8.70621776580811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","8.68721485137939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","62","GC01M186671","8.67882442474365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"GIPR","Gastric Inhibitory Polypeptide Receptor","Protein Coding","P48546","56","GC19P045668","8.67882442474365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIPR"
"SOCS3","Suppressor Of Cytokine Signaling 3","Protein Coding","O14543","56","GC17M078356","8.67882442474365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS3"
"NR1H2","Nuclear Receptor Subfamily 1 Group H Member 2","Protein Coding","P55055","58","GC19P050329","8.67068672180176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2"
"GNB3","G Protein Subunit Beta 3","Protein Coding","P16520","59","GC12P006839","8.62453842163086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB3"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","8.56746196746826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"FABP4","Fatty Acid Binding Protein 4","Protein Coding","P15090","55","GC08M081478","8.53671264648438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP4"
"CYBA","Cytochrome B-245 Alpha Chain","Protein Coding","P13498","58","GC16M088643","8.50711727142334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBA"
"GYS1","Glycogen Synthase 1","Protein Coding","P13807","62","GC19M101265","8.47856521606445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS1"
"LCN2","Lipocalin 2","Protein Coding","P80188","58","GC09P128149","8.47856521606445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCN2"
"BBIP1","BBSome Interacting Protein 1","Protein Coding","A8MTZ0","43","GC10M110898","8.47408103942871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBIP1"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","P20333","61","GC01P060401","8.46723937988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"SELL","Selectin L","Protein Coding","P14151","55","GC01M169690","8.44286727905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P134223","8.44286727905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"SLC5A2","Solute Carrier Family 5 Member 2","Protein Coding","P31639","59","GC16P105032","8.43859958648682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A2"
"CYP3A4","Cytochrome P450 Family 3 Subfamily A Member 4","Protein Coding","P08684","61","GC07M106050","8.23132133483887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4"
"ANXA5","Annexin A5","Protein Coding","P08758","59","GC04M121667","8.21574592590332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5"
"CPE","Carboxypeptidase E","Protein Coding","P16870","59","GC04P165361","8.20866203308105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPE"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","O00300","59","GC08M118923","8.14748287200928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"TFAP2B","Transcription Factor AP-2 Beta","Protein Coding","Q92481","57","GC06P156567","8.12150382995605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2B"
"PLA2G7","Phospholipase A2 Group VII","Protein Coding","Q13093","63","GC06M046704","8.11414623260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7"
"PNLIP","Pancreatic Lipase","Protein Coding","P16233","59","GC10P116545","8.11414623260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNLIP"
"GAD2","Glutamate Decarboxylase 2","Protein Coding","Q05329","56","GC10P026216","8.10539722442627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD2"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","8.09853458404541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"THBD","Thrombomodulin","Protein Coding","P07204","58","GC20M023026","8.06911945343018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","8.05912399291992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"CCK","Cholecystokinin","Protein Coding","P06307","54","GC03M042274","8.02475357055664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","62","GC12M006328","8.00971508026123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"HSPA4","Heat Shock Protein Family A (Hsp70) Member 4","Protein Coding","P34932","55","GC05P133097","8.00578308105469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911","59","GC06M100352","7.99376773834229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"MT-TL1","Mitochondrially Encoded TRNA-Leu (UUA/G) 1","RNA Gene","","26","GCMTP003232","7.91737747192383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL1"
"APOA4","Apolipoprotein A4","Protein Coding","P06727","54","GC11M116820","7.90673971176147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA4"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P116113","7.90015840530396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"ALDH2","Aldehyde Dehydrogenase 2 Family Member","Protein Coding","P05091","63","GC12P111766","7.90015840530396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH2"
"OPRM1","Opioid Receptor Mu 1","Protein Coding","P35372","61","GC06P163868","7.90015840530396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRM1"
"IL17A","Interleukin 17A","Protein Coding","Q16552","55","GC06P052186","7.90015840530396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"PCBD1","Pterin-4 Alpha-Carbinolamine Dehydratase 1","Protein Coding","P61457","57","GC10M070882","7.86402893066406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBD1"
"G6PC2","Glucose-6-Phosphatase Catalytic Subunit 2","Protein Coding","Q9NQR9","48","GC02P168901","7.84919834136963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC2"
"GH1","Growth Hormone 1","Protein Coding","P01241","55","GC17M063917","7.831130027771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"APOA5","Apolipoprotein A5","Protein Coding","Q6Q788","55","GC11M116789","7.82776927947998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","7.82318210601807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","7.81267929077148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"GAL","Galanin And GMAP Prepropeptide","Protein Coding","P22466","57","GC11P099196","7.81267929077148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL"
"PDE3B","Phosphodiesterase 3B","Protein Coding","Q13370","55","GC11P014643","7.79542922973633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE3B"
"KCNJ5","Potassium Inwardly Rectifying Channel Subfamily J Member 5","Protein Coding","P48544","60","GC11P128891","7.75606632232666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ5"
"FADS1","Fatty Acid Desaturase 1","Protein Coding","O60427","54","GC11M061799","7.75606632232666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS1"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","7.75606632232666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","7.74854183197021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"IL6R","Interleukin 6 Receptor","Protein Coding","P08887","63","GC01P154405","7.71249675750732","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R"
"SLC2A3","Solute Carrier Family 2 Member 3","Protein Coding","P11169","61","GC12M007919","7.64165878295898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A3"
"HGF","Hepatocyte Growth Factor","Protein Coding","P14210","65","GC07M081699","7.59969711303711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"POMC","Proopiomelanocortin","Protein Coding","P01189","61","GC02M025160","7.58652591705322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
